Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-92.67005	-121.8885	29.21847	0.00837431	0.0202462	0.0176115	0.00452673	0.0261197	0.000899615	0.087828	0.0381754	0.0302732	0.0611094	0.0196063	0.0046608	0.00762013	0.0622492	0.0176299	0.203702	0.0418214	0.0391732	0.053878	0.0298959	0.0415262	0.0600443	0.0876388	0.0365431	0.0177873	0.0469329	0.00820513	0.0556122	0.120644	0.414194	1.64439	0.2207136	1.779286	0.989489	0.99486	0.998393	1.00161	1.00517	1.01062	0.007640692	8.061516	0.2770718	0.00669765	0.0161926	0.0140855	0.00362041	0.0208901	0.000719499	0.0702436	0.0305321	0.0242121	0.0488744	0.0156808	0.00372764	0.00609447	0.049786	0.0141002	0.162918	0.0334481	0.0313302	0.0430909	0.0239103	0.0332121	0.0480225	0.0700922	0.0292266	0.0142261	0.0375362	0.00656235	0.0444778	0.0964894	0.889643	0.110357	1.250335
36	-88.4667	-117.9456	29.47889	0.0023558	0.0144243	0.0226311	0.0040747	0.0296945	0.00572274	0.0387221	0.0580968	0.000774088	0.0331688	0.0514968	0.0352169	0.0604971	0.0835284	0.0648104	0.185287	0.0389436	0.0182001	0.0911619	0.0369113	0.00641365	0.0140951	0.0114948	0.000700537	0.0316801	0.00781735	0.0113639	0.00487925	0.0620527	0.392123	1.66866	0.2538724	1.746128	0.676175	0.826265	0.942199	1.06135	1.21027	1.47891	0.282939	6.877973	0.2584914	0.00229562	0.0140558	0.022053	0.0039706	0.0289359	0.00557654	0.0377329	0.0566126	0.000754312	0.0323214	0.0501813	0.0343172	0.0589516	0.0813945	0.0631547	0.180554	0.0379487	0.0177352	0.088833	0.0359684	0.0062498	0.013735	0.0112012	0.000682641	0.0308708	0.00761764	0.0110736	0.0047546	0.0604675	0.873064	0.126936	1.026216
72	-89.53947	-118.4174	28.8779	0.00476503	0.0130745	0.0337803	0.00275196	0.0172486	0.0012375	0.0460174	0.0402373	0.000575776	0.0109136	0.0305042	0.0197774	0.0480426	0.0158268	0.0961155	0.11644	0.0322975	0.00129847	0.0411056	0.089573	0.0316082	0.0291896	9.47176e-05	0.0127094	0.0130635	0.00951788	0.00317986	0.00515915	0.0310252	0.819454	1.1986	0.2278428	1.772157	0.925423	0.962906	0.988277	1.01186	1.03852	1.08059	0.05604094	7.777982	0.7520434	0.00597773	0.016402	0.0423773	0.00345233	0.0216384	0.00155245	0.0577288	0.0504776	0.000722312	0.0136911	0.0382675	0.0248107	0.0602694	0.0198547	0.120577	0.146074	0.0405172	0.00162893	0.0515669	0.112369	0.0396524	0.0366183	0.000118823	0.0159439	0.0163881	0.0119402	0.00398913	0.00647215	0.0389211	0.886079	0.113921	0.7971304
108	-93.87156	-122.9105	29.03894	0.0266322	0.0330024	0.0299451	0.000378766	0.00730911	0.000239467	0.0502949	0.0607352	0.000182024	0.0191545	0.0784002	0.0182448	0.0477681	0.00555463	0.0130915	0.0815051	0.0295458	0.00706816	0.00431137	0.0675203	0.00892094	0.0029806	0.00621481	0.00377751	0.0337593	0.0156271	0.00783417	0.00804465	0.0226837	0.429899	1.62711	0.1888105	1.811189	0.565776	0.757468	0.916988	1.09053	1.32019	1.76748	0.4118286	9.59263	0.2906309	0.0385568	0.0477792	0.0433531	0.000548358	0.0105818	0.000346688	0.0728145	0.0879295	0.000263525	0.0277309	0.113504	0.0264139	0.0691563	0.00804172	0.0189532	0.117999	0.042775	0.0102329	0.00624178	0.0977526	0.0129153	0.00431517	0.00899749	0.0054689	0.0488751	0.0226241	0.0113419	0.0116466	0.0328403	0.905595	0.0944053	0.6907265
144	-94.64101	-123.5506	28.90961	0.0146607	0.0127284	0.00868719	0.00927621	0.00500863	0.000548296	0.00591813	0.010287	0.000581525	0.0134577	0.00335745	0.0177253	0.0140487	0.00742997	0.0170235	0.0621066	0.0161777	0.029505	0.0124732	0.0170021	0.00679462	0.00253512	0.00640373	0.00429287	0.0170434	0.0241065	0.0148371	0.00362558	0.000755761	0.769939	1.25307	0.298095	1.701905	0.403646	0.642459	0.871067	1.14802	1.55652	2.47742	0.6559798	5.70927	0.6758874	0.0409062	0.0355146	0.024239	0.0258824	0.0139751	0.00152985	0.0165127	0.0287027	0.00162257	0.0375496	0.00936794	0.0494571	0.0391986	0.0207311	0.0474988	0.17329	0.0451388	0.0823248	0.0348027	0.0474391	0.0189583	0.00707347	0.0178676	0.0119779	0.0475544	0.0672617	0.0413983	0.0101161	0.00210872	0.850952	0.149048	0.3583979
180	-98.59683	-128.1122	29.5154	0.0631965	0.00734903	0.058062	0.0164556	0.0301686	0.0230977	0.0123048	0.0295503	0.00296538	0.0503866	0.023727	0.0108313	0.0210856	0.0805705	0.0459047	0.0726091	0.0251278	0.00818357	0.0280157	0.00636569	0.0146045	0.00579472	0.0406779	0.0856342	0.132612	0.0623178	0.0746123	0.0130612	0.00419489	1.07369	0.918943	0.6374069	1.362593	0.574585	0.763197	0.919147	1.08797	1.31028	1.74039	0.4006575	2.137713	1.285233	0.0602177	0.00700263	0.0553252	0.01568	0.0287465	0.0220089	0.0117248	0.0281574	0.00282561	0.0480116	0.0226086	0.0103208	0.0200917	0.0767728	0.043741	0.0691866	0.0239434	0.00779784	0.0266952	0.00606564	0.0139161	0.00552158	0.0387605	0.0815977	0.126362	0.0593804	0.0710954	0.0124455	0.00399716	0.681297	0.318703	1.049467
216	-93.50676	-123.552	30.0452	0.0226	0.0275934	0.00874597	0.0022365	0.0202162	0.08236	0.0158982	0.0445647	0.0326088	0.0385748	0.013267	0.0745645	0.0399947	0.0604569	0.0695317	0.136314	0.0855079	0.0380023	0.00622479	0.0354168	0.0244983	0.090078	0.0144137	0.0775631	0.0848111	0.0373728	0.0190228	0.012537	0.0522372	0.432737	1.62399	0.5060782	1.493922	0.484068	0.701985	0.895483	1.11672	1.42453	2.06583	0.5246084	2.951959	0.2931116	0.0178344	0.0217749	0.00690174	0.00176489	0.0159533	0.0649931	0.0125458	0.0351675	0.0257327	0.0304406	0.0104694	0.0588414	0.0315611	0.0477085	0.0548698	0.10757	0.0674771	0.0299889	0.00491219	0.0279485	0.0193324	0.0710835	0.0113743	0.0612077	0.0669272	0.0294921	0.0150115	0.00989335	0.0412221	0.746961	0.253039	1.267213
252	-92.63284	-121.9453	29.31249	0.00657467	0.00751455	0.00109265	0.00161366	0.0208902	0.0396624	0.0029512	0.0381687	0.00271713	0.0103041	0.00228948	0.0324684	0.00200791	0.0378196	0.0140783	0.0853404	0.00939598	0.00116104	0.00897364	0.0203059	0.0105049	0.0285814	0.00607908	0.0156487	0.0171619	0.0226529	0.00713278	0.0068713	0.0143919	0.287938	1.78327	0.1905196	1.80948	0.486621	0.703788	0.8962	1.11582	1.42088	2.05499	0.5208052	9.49761	0.1776128	0.0138602	0.0158416	0.00230345	0.0034018	0.0440391	0.0836133	0.0062215	0.0804645	0.00572805	0.0217224	0.00482652	0.0684474	0.00423293	0.0797284	0.0296789	0.179908	0.0198079	0.00244761	0.0189176	0.0428074	0.0221457	0.0602532	0.0128155	0.0329895	0.0361794	0.0477552	0.0150368	0.0144856	0.0303399	0.90474	0.0952598	0.4743549
288	-94.00817	-123.3333	29.32511	0.00354454	0.000821252	0.0234685	0.00197217	0.0222091	0.0258268	0.0417146	0.0191065	0.00164774	0.00753835	0.00278709	0.0249121	0.0115611	0.0325435	0.0138906	0.0656601	0.00831166	0.00541626	0.011345	0.00222579	0.0197923	0.0592081	0.0109343	0.0053251	0.0371256	0.0284509	0.0101516	0.000513794	0.0231232	0.413226	1.64545	0.294544	1.705456	0.25922	0.51766	0.814305	1.22804	1.93177	3.85772	0.9761989	5.790156	0.2762459	0.00680167	0.00157591	0.0450341	0.00378442	0.0426173	0.0495595	0.0800468	0.0366638	0.00316188	0.0144655	0.0053482	0.0478042	0.0221847	0.0624482	0.026655	0.125996	0.0159494	0.0103933	0.0217701	0.0042711	0.0379798	0.113615	0.020982	0.0102184	0.0712408	0.0545949	0.0194801	0.000985928	0.0443714	0.852728	0.147272	0.5211277
324	-87.65395	-117.6456	29.99162	0.0108122	0.000706347	0.00731517	0.000111251	0.00341346	0.0023861	0.0226696	0.0208253	0.00654059	0.0132793	0.00688395	0.0211434	0.00400239	0.0152698	0.0575005	0.0901178	0.0158191	0.0330535	0.00343587	0.00146358	0.0102874	0.0509234	0.00739099	0.00208777	0.00615612	0.00696678	0.00301334	0.0287109	0.00248571	0.54179	1.50403	0.5244094	1.475591	0.244472	0.503081	0.80708	1.23903	1.98775	4.09045	1.018554	2.813814	0.3962475	0.023775	0.00155319	0.0160854	0.000244631	0.00750587	0.00524682	0.0498483	0.0457928	0.0143821	0.0291998	0.0151372	0.0464924	0.00880089	0.0335769	0.126438	0.19816	0.0347848	0.0726816	0.00755515	0.00321826	0.0226211	0.111976	0.0162521	0.00459082	0.0135367	0.0153193	0.00662605	0.0631327	0.00546584	0.737795	0.262205	0.4547716
